securities

SECID;BOARDID;SHORTNAME;PREVPRICE;LOTSIZE;FACEVALUE;STATUS;BOARDNAME;DECIMALS;SECNAME;REMARKS;MARKETCODE;INSTRID;SECTORID;MINSTEP;PREVWAPRICE;FACEUNIT;PREVDATE;ISSUESIZE;ISIN;LATNAME;REGNUMBER;PREVLEGALCLOSEPRICE;PREVADMITTEDQUOTE;CURRENCYID;SECTYPE;LISTLEVEL;SETTLEDATE
AFLT;TQBR;Аэрофлот;68.38;10;1;A;Т+: Акции и ДР - безадрес.;2;Аэрофлот-росс.авиалин(ПАО)ао;;FNDT;EQIN;EQ-N;0.02;68.06;SUR;2020-03-31;1110616299;RU0009062285;Aeroflot;1-01-00010-A;68.38;68.38;SUR;1;1;2020-04-03


marketdata

SECID;BOARDID;BID;BIDDEPTH;OFFER;OFFERDEPTH;SPREAD;BIDDEPTHT;OFFERDEPTHT;OPEN;LOW;HIGH;LAST;LASTCHANGE;LASTCHANGEPRCNT;QTY;VALUE;VALUE_USD;WAPRICE;LASTCNGTOLASTWAPRICE;WAPTOPREVWAPRICEPRCNT;WAPTOPREVWAPRICE;CLOSEPRICE;MARKETPRICETODAY;MARKETPRICE;LASTTOPREVPRICE;NUMTRADES;VOLTODAY;VALTODAY;VALTODAY_USD;ETFSETTLEPRICE;TRADINGSTATUS;UPDATETIME;ADMITTEDQUOTE;LASTBID;LASTOFFER;LCLOSEPRICE;LCURRENTPRICE;MARKETPRICE2;NUMBIDS;NUMOFFERS;CHANGE;TIME;HIGHBID;LOWOFFER;PRICEMINUSPREVWAPRICE;OPENPERIODPRICE;SEQNUM;SYSTIME;CLOSINGAUCTIONPRICE;CLOSINGAUCTIONVOLUME;ISSUECAPITALIZATION;ISSUECAPITALIZATION_UPDATETIME;ETFSETTLECURRENCY;VALTODAY_RUR
AFLT;TQBR;67.88;;67.9;;0.02;628946;291198;67;66.5;68.3;67.88;-0.02;-0.03;1;678.80;8.73;67.76;-0.18;-0.44;-0.3;;;68.06;-0.73;22387;13128760;889623745;11444682;;T;14:26:46;;;;;67.88;;;;-0.5;14:26:32;;;-0.18;67;556517;2020-04-01 14:41:46;;;75566332983.96;14:39:54;;889623745


dataversion

data_version;seqnum
5793;556513


marketdata_yields

boardid;secid


